SPECIES,SITE_ID,Height_min,Height_max,Behaviour,WEATHER_CONDITIONS,N_INDIVIDUALS,SEASON,HABITAT,Longitude,Latitude
S5,Zone E,10,14,B1,"Sunny, easterly wind gusty at times ",7,C,X1,130.2453818,-32.22617201
S5,Zone A,14,14,B1,"Sunny, SE wind gusty at times ",11,C,X1,130.030827,-32.14049329
S5,Zone A,7,25,B1,"mostly sunny, light breeze ",7,C,X1,130.0327924,-32.16947172
S5,Zone A,10,25,B1,"mostly sunny, moderate breeze ",10,C,X1,130.030827,-32.14049329
S5,Zone B,15,23,B3,"fine, warm, moderate breeze",11,C,X1,130.0850503,-32.27792669
S5,Zone E,9,27,B3,"fine, warm, moderate breeze v strong gusts",14,C,X1,130.2453818,-32.22617201
S5,Zone E,9,28,B1,"fine, clear, strong wind",19,C,X1,130.2452788,-32.3306172
S5,Zone D,5,20,B1,"fine, clear, strong wind",11,C,X3,130.1692709,-32.44834877
S5,Zone C,11,24,B1,"fine, clear, light E'ly breeze",11,C,X1,130.0557016,-32.43227597
S5,Zone E,5,27,B1,"fine, clear, strong E'ly breeze",9,C,X1,130.241277,-32.42658892
S5,Zone D,5,28,B1,"fine, clear, strong E'ly breeze",6,C,X3,130.1692709,-32.44834877
S5,Zone E,10,30,B1,"fine, partly cloudy, moderate E'ly breeze",6,C,X4,130.2040977,-32.22226437
S5,Zone H,23,26,B1,"fine, clear, strong E'ly breeze",6,C,X1,130.164601,-32.28404537
S5,Zone E,NA,NA,-,"fine, clear, moderate SE'ly breeze",9,C,X1,130.2453818,-32.22617201
S5,Zone A,NA,NA,B1,"Sunny, SE wind gusty at times ",15,C,X1,130.0327924,-32.16947172
S5,Zone G,5.5,7,B3,sunny,6,C,X4,130.1458091,-32.32572974
S5,Zone C,8,8,B2,"sunny, breezy",12,C,X1,130.0557016,-32.43227597
S5,Zone H,5,17,NA,"Sunny, light breeze",8,C,X1,130.164601,-32.28404537
S5,Zone C,11,13,B3,"Sunny, light breeze",6,C,X1,130.0557016,-32.43227597
S5,Zone G,6,8,B1,"Sunny, light breeze",5,C,X2,130.1130163,-32.34329067
S5,Zone D,NA,NA,NA,"partly cloudy, calm",14,C,X3,130.1692709,-32.44834877
S5,Zone E,7,9,B2,"sunny, light breeze",11,C,X1,130.2452788,-32.3306172
S5,Zone E,6,9,-,"sunny, light breeze",12,C,X1,130.2452788,-32.3306172
S5,Zone A,NA,NA,NA,"sunny, moderate breeze",12,C,X1,130.030827,-32.14049329
S5,Zone B,NA,NA,NA,"sunny, light breeze ",NA,C,X1,130.0850503,-32.27792669
S6,Zone A,NA,45,B3,"ENE wind, gusty at times, clear skies",5,A,X1,130.030827,-32.14049329
S6,Zone D,NA,35,B3,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S6,Zone D,NA,35,B3,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S6,Zone E,NA,NA,B3,Strong easterly,8,A,X1,130.2452788,-32.3306172
S6,Zone A,NA,35,B3,"Clear conditions, strong gusty breeze from SE",6,A,X1,130.0327924,-32.16947172
S6,Zone D,NA,75,B3,strong wind 90,5,B,X3,130.1692709,-32.44834877
S6,Zone D,NA,25,B3,light wind 100,5,B,X3,130.1692709,-32.44834877
S6,Zone A,18,38,B1,"Sunny, SE wind gusty at times ",5,C,X1,130.030827,-32.14049329
S7,Zone E,NA,15,B3,"ESE wind, gusty strong breeze, clear skies",5,A,X4,130.2040977,-32.22226437
S7,Zone A,NA,45,B3,"ENE wind, gusty at times, clear skies",9,A,X1,130.030827,-32.14049329
S7,Zone A,NA,45,B3,"Strong SE wind, clear skies",5,A,X1,130.030827,-32.14049329
S7,Zone E,NA,25,B3,Very strong northerly (wind funnels through creekline and along steep ridge).,5,A,X1,130.2453818,-32.22617201
S7,Zone D,NA,NA,B3,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S7,Zone E,NA,25,B1,0/01/1900,6,B,X1,130.2452788,-32.3306172
S7,Zone D,NA,75,B3,strong wind 90,5,B,X3,130.1692709,-32.44834877
S7,Zone E,NA,25,B3,medium wind 120,6,B,X1,130.2453818,-32.22617201
S7,Zone B,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",5,B,X1,130.0850503,-32.27792669
S7,Zone D,NA,35,B3,"Light easterly breeze, clear skies",5,B,X3,130.1692709,-32.44834877
S7,Zone D,22,23,B2,"fine, clear, strong wind",5,C,X3,130.1692709,-32.44834877
